"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.sofoservis.sk/vypratavanie-po-rekonstrukcii","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pozostalosti","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-senec","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-samorin","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-komarno","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-stupava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-galanta","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pezinok","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-trnava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-kancelarii","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-chalupy","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-senica","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-levice","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-nitra","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-hlohovec","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-piestany","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/vypratavanie-malacky","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/en/moving-senec","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/en/moving-nitra","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/en/moving-galanta","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/en/moving-komarno","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/vypratavanie-po-rekonstrukcii-odvoz-stavebneho-odpadu","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/kolko-stoji-stahovanie-bratislava-2026","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/vypratavanie-bytov-pezinok","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/ako-si-vybrat-stahovaciu-firmu-10-kriterii","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/medzinarodne-stahovanie-slovensko-2026","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/stahovanie-v-zime-vyhody-vyzvy","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/vypratavanie-bytov-malacky","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/stahovanie-seniorov-starsich-osob","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/prenajom-stahovacieho-auta-vs-firma","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/ako-sa-pripravit-na-stahovanie-checklist","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/stahovanie-s-domacimi-zvieratami","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/vypratavanie-po-sezonnom-uskladneni-bratislava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/montaz-nabytku-ikea-cena","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/ako-spravne-zabalit-byt-na-stahovanie","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/odovzdanie-bytu-po-najme-checklist","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/blog/vypratavanie-bytu-cena-2026","text/html; charset=utf-8","200","OK","Indexable",""
